country;p2010;p2011;p2012;p2013;p2014;p2015;p2016;p2017;population_avg
China;1.337.705.000;1.344.130.000;1.350.695.000;1.357.380.000;1.364.270.000;1.371.220.000;1.378.665.000;1.386.395.000;1.361.307.500
India;1.234.281.170;1.250.288.729;1.265.782.790;1.280.846.129;1.295.604.184;1.310.152.403;1.324.509.589;1.338.658.835;1.287.515.479
Usa;309.321.666;311.556.874;313.830.990;315.993.715;318.301.008;320.635.163;322.941.311;324.985.539;317.195.783
Indonesia;241.834.215;245.116.206;248.452.413;251.806.402;255.129.004;258.383.256;261.554.226;264.645.886;253.365.201
Brazil;195.713.635;197.514.534;199.287.296;201.035.903;202.763.735;204.471.769;206.163.058;207.833.831;201.847.970
Pakistan;179.424.641;183.340.592;187.281.475;191.262.919;195.306.825;199.426.964;203.627.284;207.896.686;193.445.923
Nigeria;158.503.197;162.805.071;167.228.767;171.765.769;176.404.902;181.137.448;185.960.289;190.873.311;174.334.844
Bangladesh;147.575.430;149.273.778;151.007.807;152.764.676;154.520.167;156.256.276;157.970.840;159.670.593;153.629.946
Russian Federation;142.849.468;142.960.908;143.201.721;143.506.995;143.819.666;144.096.870;144.342.396;144.496.740;143.659.346
Japan;128.070.000;127.833.000;127.629.000;127.445.000;127.276.000;127.141.000;126.994.511;126.785.797;127.396.789
Mexico;114.092.963;115.695.473;117.274.155;118.827.161;120.355.128;121.858.258;123.333.376;124.777.324;119.526.730
Philippines;93.966.780;95.570.047;97.212.638;98.871.552;100.513.138;102.113.212;103.663.927;105.173.264;99.635.570
Vietnam;87.967.651;88.871.561;89.802.487;90.753.472;91.714.595;92.677.076;93.638.724;94.596.642;91.252.776
Ethiopia;87.639.964;90.139.927;92.726.971;95.385.785;98.094.253;100.835.458;103.603.501;106.400.024;96.853.235
Egypt, Arab Rep.;82.761.235;84.529.250;86.422.240;88.404.640;90.424.654;92.442.547;94.447.072;96.442.593;89.484.279
Germany;81.776.930;80.274.983;80.425.823;80.645.605;80.982.500;81.686.611;82.348.669;82.657.002;81.349.765
Iran, Islamic Rep.;73.762.519;74.634.956;75.539.862;76.481.943;77.465.753;78.492.215;79.564.016;80.673.951;77.076.902
Turkey;72.326.988;73.443.863;74.653.016;75.928.564;77.231.907;78.529.409;79.821.724;81.101.892;76.629.670
Thailand;67.195.028;67.518.382;67.835.957;68.144.501;68.438.730;68.714.511;68.971.331;69.209.858;68.253.537
France;65.027.507;65.342.780;65.659.809;65.998.687;66.312.067;66.548.272;66.724.104;66.864.379;66.059.701
Congo, Dem. Rep.;64.563.854;66.755.153;69.020.747;71.358.807;73.767.447;76.244.544;78.789.127;81.398.764;72.737.305
United Kingdom;62.766.365;63.258.810;63.700.215;64.128.273;64.602.298;65.116.219;65.611.593;66.058.859;64.405.329
Italy;59.277.417;59.379.449;59.539.717;60.233.948;60.789.140;60.730.582;60.627.498;60.536.709;60.139.308
South Africa;51.216.964;52.004.172;52.834.005;53.689.236;54.545.991;55.386.367;56.203.654;57.000.451;54.110.105
