Country Name;Country Code;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Reino Unido;GBR;441.800;432.200;435.200;446.300;429.400;397.100;409.300;413.300;462.600;476.900;477.500;434.000;433.200;435.600;457.900;471.700;498.900;522.900;573.300;639.100;670.700;615.500;654.600;659.400;684.900;724.800;772.300;788.900;801.900;840.800;876.158;925.638;924.944;891.154;970.036;1.018.118;1.037.032;1.044.883;1.056.206;1.003.893;985.109.023.067.177;1.062.692;105.070.290.909.091;1.052.640;1064175.7;1.104.117;1.180.312;1.182.696;1.242.985;1.061.464
Alemania;DEU;143.100;153.800;166.100;151.900;180.300;176.800;179.300;181.200;183.500;183.200;187.300;186.600;188.500;195.400;201.900;214.700;234.100;269.100;294.300;310.800;344.200;406.600;458.000;459.200;521.000;526.600;566.600;645.900;673.300;709.800;738.297;762.178;796.129;844.881;937.143;1.023.858;1.084.821;1.126.699;1.154.472;1.080.553;971.803.431.596.833;102.189.993.850.367;985.668.769.188.173;954.874;946.082;967.453;962.803;955.827;922.648.643.490.196;896.647.181
Japón;JPN;277.300;395.100;298.700;311.800;320.700;312.700;321.200;345.900;369.600;388.500;396.500;416.600;417.500;414.300;416.100;417.800;433.300;441.500;465.400;468.300;476.000;495.800;473.000;474.400;489.300;535.900;564.000;573.300;636.500;661.800;645.087;640.328;647.953;639.866;638.430;651.858;670.252;656.917;655.495;641.913;934.487.439.462.563;812.928;874.677;915.542.658;927.666;956.015;984.320;1.035.522;999.594;1.018.436
Argentina;ARG;71.700;75.600;79.000;71.100;79.000;89.800;90.000;93.600;96.500;103.700;114.400;113.800;103.900;109.100;101.400;100.500;102.300;111.800;106.200;101.600;114.000;78.500;86.300;83.300;99.500;112.400;131.400;171.600;144.600;183.600;168.815;124.493;113.178;91.657;90.518;81.298;74.162;79.465;74.649;74.546;928.475.065.402.624;902.145.205.338.809;101.716.268.913.446;145.136.020.724.733;134.521;145.585;149.334;146.631;161.862;163.106
Perú;PER;16.500;11.800;15.300;15.300;28.900;29.300;30.900;31.200;30.300;29.900;32.100;31.700;32.200;32.400;29.900;28.800;32.100;35.600;33.600;26.000;22.100;21.500;21.200;25.000;30.600;37.300;35.200;43.200;44.800;37.300;29.387;44.487;37.482;36.947;46.917;60.819;56.072;61.958;67.840;65.885;844.081.153.236.815;100.131;106.167;115.817.396.352.206;117.800;129.786;129.880;130.792;141.025.363;141.311
Gabón;GAB;11.200;11.200;11.000;11.300;11.200;11.300;12.700;12.100;11.600;11.800;12.000;12.200;12.600;13.100;12.600;12.300;12.300;12.500;11.000;10.700;10.400;11.300;10.800;10.900;12.000;12.000;7.100;10.000;10.100;7.300;7.445;7.492;7.474;7.990;8.342;8.505;8.524;9.057;5.654;5.423;751.615.985.130.111;3.002;1.553;0;;2.765;2.305;;;
Francia;FRA;215.400;211.600;232.500;230.600;239.100;246.300;255.700;256.300;258.000;262.400;248.400;254.400;268.600;241.000;259.900;261.200;274.400;314.400;368.200;393.200;441.700;408.000;413.700;459.800;479.000;482.000;549.900;667.500;691.800;748.600;811.776;777.756;734.679;695.865;682.263;728.081;805.731;825.471;827.851;771.675;738.003.426.442.238;754.292;739.353.599.757.151;641.440;610.197;607.168;599.427;599.256;597.412;598.374
Panamá;PAN;16.000;16.400;16.700;11.500;11.500;9.300;10.900;11.700;10.600;11.300;8.700;6.500;9.700;6.800;6.800;6.900;7.000;7.000;7.200;6.900;5.400;5.500;7.500;9.500;10.700;16.400;16.600;17.800;21.700;21.200;25.225;24.867;21.883;25.702;27.434;30.392;33.003;40.645;46.292;66.236;733.167.503.951.154;79.391;82.753;135.428;132.689.724.774.874;137.955;143.126;112.742;111.583;110.042
Guinea Ecuatorial;GNQ;;300;300;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;1.400;400;400;400;400;400;400;400;400;600;600;;;;;;;;;;;;717.170.923.379.175;2.808;8.201;19.416;14.136;22.350;22.464;20.590;7.930;8.114
Chad;TCD;4.000;4.100;3.900;4.000;3.800;4.000;4.200;4.200;4.300;4.400;4.500;2.400;2.600;2.600;2.000;2.100;2.100;1.600;1.700;1.700;1.200;1.800;1.700;1.900;1.900;2.000;2.100;1.800;1.800;1.500;1.518;716;;;;;;;;;699.531.448.355.453;984;664;72;72;;;;;
